subject,exam_type,class,hours_of_studying,participation_in_group,group_parlagrims,individual_paralligms,assigments_individual,assigments_group,previous_marks,panctuality,Predicted Marks,Unnamed: 0
2.0,0.0,6.0,13.393756294058411,100.0,52.75,72.5,63.25,63.25,64.0,33.33333333333333,9.0,14.0
10.0,4.0,6.0,18.785094435936703,0.0,54.5,0.0,53.66666666666666,53.66666666666666,26.0,70.0,7.0,15.0
6.0,4.0,5.0,35.622317596566525,100.0,40.857142857142854,42.66666666666666,52.42857142857143,52.42857142857143,9.0,41.17647058823529,11.0,16.0
11.0,4.0,4.0,36.99551569506727,14.285714285714285,66.5,42.5,41.833333333333336,41.833333333333336,97.0,41.66666666666667,11.0,17.0
12.0,2.0,5.0,14.117647058823529,33.33333333333333,47.66666666666666,29.5,42.333333333333336,42.333333333333336,30.0,52.941176470588246,5.0,18.0
9.0,4.0,4.0,20.507246376811594,30.0,65.0,45.3,80.5,80.5,85.0,45.45454545454545,9.0,19.0
1.0,4.0,3.0,95.91836734693877,33.33333333333333,50.33333333333334,59.0,43.88888888888889,43.88888888888889,100.0,55.55555555555557,26.0,20.0
5.0,0.0,2.0,19.488296135002727,55.55555555555557,50.2,54.0,31.2,31.2,63.0,33.33333333333333,8.0,21.0
12.0,4.0,6.0,92.34972677595628,0.0,54.0,58.6,60.0,60.0,100.0,45.45454545454545,18.0,22.0
13.0,4.0,5.0,0.22271714922049002,90.0,37.16666666666666,0.0,67.16666666666667,67.16666666666667,29.0,69.23076923076923,22.0,23.0
4.0,3.0,2.0,70.4579025110783,22.222222222222207,59.88888888888889,66.375,55.0,55.0,78.0,44.444444444444436,11.0,24.0
1.0,0.0,3.0,55.070281124497996,57.14285714285714,47.0,60.28571428571429,66.625,66.625,36.0,44.444444444444436,9.0,25.0
14.0,1.0,4.0,10.13953488372093,80.0,0.0,60.444444444444436,0.0,0.0,71.0,66.66666666666666,26.0,26.0
15.0,0.0,6.0,77.55681818181817,55.55555555555557,61.5,51.5,52.5,52.5,10.0,60.0,8.0,27.0
4.0,0.0,6.0,79.9079754601227,33.33333333333333,38.0,38.8,52.444444444444436,52.444444444444436,62.0,54.54545454545454,22.0,28.0
10.0,1.0,6.0,67.63157894736842,50.0,0.0,69.5,0.0,0.0,70.0,50.0,25.0,29.0
3.0,3.0,2.0,41.22899159663864,16.666666666666664,66.33333333333333,0.0,45.88888888888889,45.88888888888889,14.0,33.33333333333333,4.0,30.0
8.0,4.0,1.0,46.606606606606604,50.0,80.0,44.5,33.333333333333336,33.333333333333336,87.0,25.0,11.0,31.0
8.0,3.0,2.0,10.33966033966034,0.0,36.0,49.25,82.0,82.0,11.0,64.28571428571429,-2.0,32.0
14.0,1.0,4.0,17.68901569186876,100.0,51.77777777777778,37.857142857142854,47.111111111111114,47.111111111111114,38.0,36.36363636363637,13.0,33.0
12.0,1.0,2.0,12.265037593984964,33.33333333333333,47.22222222222222,44.0,34.666666666666664,34.666666666666664,4.0,41.66666666666667,-3.0,34.0
4.0,2.0,1.0,53.73417721518987,50.0,45.83333333333334,33.666666666666664,52.66666666666666,52.66666666666666,32.0,40.0,12.0,35.0
12.0,1.0,6.0,23.00613496932516,12.5,0.0,48.0,0.0,0.0,69.0,37.5,15.0,36.0
1.0,3.0,6.0,87.5,25.0,58.66666666666666,58.5,51.77777777777778,51.77777777777778,31.0,43.75,6.0,37.0
16.0,2.0,4.0,43.72960372960373,10.0,46.0,42.57142857142857,21.33333333333333,21.33333333333333,7.0,41.66666666666667,-1.0,38.0
6.0,3.0,2.0,82.64150943396227,0.0,47.1,49.22222222222222,47.1,47.1,55.0,30.0,9.0,39.0
15.0,3.0,6.0,39.98091603053435,60.0,37.375,51.66666666666666,29.375,29.375,55.0,42.857142857142854,14.0,40.0
2.0,2.0,6.0,23.783783783783782,100.0,45.22222222222222,62.66666666666666,68.33333333333333,68.33333333333333,96.0,40.0,22.0,41.0
7.0,2.0,2.0,34.04255319148936,0.0,56.0,36.4,23.66666666666667,23.66666666666667,41.0,37.5,1.0,42.0
1.0,2.0,6.0,53.094910591471795,75.0,44.66666666666666,53.75,36.0,36.0,33.0,70.0,16.0,43.0
16.0,2.0,1.0,69.91869918699186,66.66666666666666,70.66666666666667,34.44444444444444,54.16666666666666,54.16666666666666,64.0,40.0,19.0,44.0
13.0,2.0,3.0,0.9615384615384616,33.33333333333333,71.66666666666667,58.0,53.83333333333334,53.83333333333334,62.0,56.25,0.0,45.0
0.0,3.0,4.0,68.28478964401296,50.0,51.625,32.5,44.375,44.375,86.0,62.5,27.0,46.0
6.0,3.0,6.0,52.36009732360098,0.0,48.5,48.6,51.8,51.8,26.0,76.92307692307693,5.0,47.0
3.0,0.0,1.0,66.8888888888889,87.5,31.66666666666667,0.0,61.16666666666666,61.16666666666666,89.0,37.5,41.0,48.0
15.0,0.0,1.0,71.57001414427157,11.111111111111107,48.66666666666666,53.75,52.33333333333334,52.33333333333334,24.0,66.66666666666666,7.0,49.0
7.0,2.0,1.0,95.4,0.0,61.8,51.0,67.2,67.2,25.0,50.0,5.0,50.0
4.0,4.0,3.0,55.932203389830505,100.0,51.0,0.0,27.66666666666667,27.66666666666667,5.0,57.14285714285714,23.0,51.0
6.0,4.0,3.0,62.721893491124256,60.0,0.0,44.25,0.0,0.0,76.0,30.0,29.0,52.0
10.0,0.0,5.0,75.8833922261484,40.0,39.285714285714285,47.0,42.142857142857146,42.142857142857146,78.0,66.66666666666666,25.0,53.0
8.0,4.0,3.0,28.242677824267783,44.444444444444436,40.833333333333336,43.25,51.66666666666666,51.66666666666666,4.0,54.54545454545454,3.0,54.0
4.0,4.0,4.0,18.17478731631864,75.0,54.111111111111114,47.8,37.77777777777778,37.77777777777778,94.0,44.444444444444436,19.0,55.0
12.0,0.0,3.0,89.4,50.0,60.33333333333334,54.42857142857143,60.66666666666666,60.66666666666666,76.0,25.0,17.0,56.0
9.0,0.0,1.0,68.69565217391305,100.0,92.0,78.66666666666667,41.0,41.0,60.0,30.0,8.0,57.0
7.0,2.0,5.0,46.80259499536608,50.0,50.0,21.777777777777786,53.25,53.25,94.0,50.0,26.0,58.0
9.0,0.0,3.0,44.938158497480536,0.0,59.714285714285715,53.5,68.14285714285714,68.14285714285714,25.0,30.76923076923077,-5.0,59.0
0.0,2.0,5.0,83.15217391304348,50.0,57.66666666666666,35.875,51.66666666666666,51.66666666666666,73.0,60.0,25.0,60.0
12.0,0.0,6.0,34.16708354177089,0.0,60.111111111111114,52.0,39.55555555555557,39.55555555555557,9.0,50.0,-7.0,61.0
14.0,2.0,4.0,94.86619333697432,14.285714285714285,50.0,64.75,10.5,10.5,45.0,66.66666666666666,12.0,62.0
13.0,2.0,5.0,59.595959595959606,40.0,53.5,0.0,62.16666666666666,62.16666666666666,35.0,22.222222222222207,14.0,63.0
9.0,2.0,4.0,48.11188811188811,50.0,55.0,53.5,51.0,51.0,0.0,61.53846153846154,2.0,64.0
11.0,4.0,3.0,1.1673151750972763,0.0,45.875,38.0,28.0,28.0,65.0,80.0,8.0,65.0
9.0,3.0,6.0,76.15606936416185,100.0,77.2,49.0,34.4,34.4,17.0,50.0,12.0,66.0
1.0,2.0,3.0,81.93668528864059,100.0,40.142857142857146,46.5,44.0,44.0,100.0,57.14285714285714,39.0,67.0
3.0,0.0,1.0,41.82041820418204,40.0,25.0,40.0,47.75,47.75,40.0,54.54545454545454,16.0,68.0
14.0,3.0,2.0,53.3170731707317,11.111111111111107,64.5,46.6,20.5,20.5,61.0,60.0,9.0,69.0
8.0,2.0,3.0,98.89415481832545,0.0,38.333333333333336,31.0,51.33333333333334,51.33333333333334,26.0,66.66666666666666,16.0,70.0
2.0,0.0,4.0,16.803953871499182,75.0,47.66666666666666,55.83333333333334,49.111111111111114,49.111111111111114,66.0,50.0,14.0,71.0
5.0,1.0,2.0,89.33701657458563,20.0,59.33333333333334,47.875,50.444444444444436,50.444444444444436,60.0,38.888888888888886,13.0,72.0
11.0,4.0,6.0,37.34939759036144,33.33333333333333,0.0,0.0,0.0,0.0,50.0,63.63636363636363,30.0,73.0
9.0,0.0,3.0,37.0581527936146,55.55555555555557,28.714285714285715,59.5,41.42857142857143,41.42857142857143,23.0,54.54545454545454,9.0,74.0
14.0,3.0,6.0,14.468864468864467,100.0,66.25,0.0,53.5,53.5,57.0,50.0,23.0,75.0
16.0,1.0,2.0,26.20967741935484,10.0,0.0,58.75,0.0,0.0,42.0,20.0,5.0,76.0
8.0,1.0,6.0,87.81362007168457,42.857142857142854,49.625,23.0,63.0,63.0,7.0,45.45454545454545,13.0,77.0
9.0,3.0,4.0,76.66666666666667,50.0,55.375,55.42857142857143,55.125,55.125,96.0,30.76923076923077,21.0,78.0
14.0,2.0,4.0,23.014018691588785,100.0,46.7,42.5,32.0,32.0,23.0,53.84615384615386,13.0,79.0
11.0,4.0,2.0,49.37402190923318,83.33333333333334,25.0,54.4,60.5,60.5,78.0,62.5,29.0,80.0
13.0,4.0,3.0,95.81430745814308,0.0,61.25,50.625,42.5,42.5,69.0,46.153846153846146,13.0,81.0
9.0,3.0,6.0,4.385964912280701,60.0,78.0,63.33333333333334,47.0,47.0,5.0,64.28571428571429,-7.0,82.0
7.0,2.0,4.0,62.848297213622295,25.0,86.0,66.2,65.0,65.0,90.0,33.33333333333333,6.0,83.0
4.0,4.0,3.0,15.273775216138327,0.0,42.5,25.0,50.75,50.75,87.0,18.181818181818183,9.0,84.0
8.0,4.0,2.0,99.55385595920973,12.5,50.4,45.7,36.2,36.2,7.0,33.33333333333333,4.0,85.0
6.0,2.0,5.0,43.09978768577496,60.0,54.0,61.25,39.5,39.5,35.0,40.0,5.0,86.0
12.0,2.0,5.0,29.08163265306123,0.0,15.0,45.5,82.5,82.5,54.0,75.0,14.0,87.0
4.0,2.0,3.0,50.171428571428564,0.0,49.4,50.75,60.0,60.0,39.0,60.0,4.0,88.0
12.0,4.0,4.0,40.65934065934066,42.857142857142854,52.0,42.8,46.0,46.0,10.0,58.33333333333334,4.0,89.0
2.0,4.0,5.0,68.5981308411215,20.0,52.5,0.0,48.125,48.125,99.0,50.0,30.0,90.0
6.0,4.0,2.0,65.1685393258427,50.0,47.714285714285715,39.2,51.42857142857143,51.42857142857143,1.0,71.42857142857143,11.0,91.0
3.0,3.0,6.0,79.6111111111111,55.55555555555557,49.5,69.0,51.5,51.5,66.0,50.0,17.0,92.0
2.0,4.0,3.0,53.64963503649636,50.0,57.33333333333334,0.0,52.0,52.0,100.0,33.33333333333333,29.0,93.0
2.0,1.0,6.0,71.50092081031308,100.0,45.0,79.44444444444444,39.5,39.5,11.0,58.82352941176471,12.0,94.0
2.0,0.0,2.0,14.476495726495724,100.0,50.5,73.0,50.33333333333334,50.33333333333334,97.0,57.14285714285714,21.0,95.0
12.0,0.0,2.0,59.871668311944724,40.0,39.75,49.1,34.75,34.75,81.0,46.66666666666666,21.0,96.0
9.0,4.0,3.0,80.77571669477234,50.0,74.66666666666667,42.0,30.33333333333333,30.33333333333333,95.0,40.0,21.0,97.0
11.0,0.0,5.0,49.122807017543856,33.33333333333333,60.8,34.833333333333336,43.4,43.4,98.0,42.857142857142854,19.0,98.0
1.0,0.0,5.0,97.98657718120806,60.0,48.75,40.0,34.75,34.75,3.0,33.33333333333333,11.0,99.0
14.0,4.0,3.0,29.731343283582092,71.42857142857143,37.111111111111114,39.375,47.111111111111114,47.111111111111114,91.0,86.66666666666669,31.0,100.0
0.0,2.0,3.0,40.82784571966135,10.0,0.0,40.0,0.0,0.0,50.0,37.5,15.0,101.0
6.0,1.0,2.0,53.30374753451677,60.0,26.16666666666667,41.25,45.66666666666666,45.66666666666666,61.0,40.0,22.0,102.0
10.0,0.0,5.0,28.32764505119453,100.0,59.33333333333334,56.875,53.16666666666666,53.16666666666666,44.0,18.75,7.0,103.0
0.0,4.0,4.0,33.771929824561404,87.5,42.6,61.0,65.0,65.0,85.0,37.5,20.0,104.0
4.0,2.0,1.0,46.04966139954853,44.444444444444436,50.42857142857143,59.5,45.85714285714285,45.85714285714285,44.0,47.058823529411754,8.0,105.0
9.0,4.0,1.0,2.0788912579957355,0.0,47.0,49.0,55.125,55.125,81.0,62.5,7.0,106.0
7.0,2.0,1.0,93.67502726281351,50.0,34.75,40.6,45.25,45.25,71.0,57.14285714285714,30.0,107.0
3.0,2.0,4.0,81.76538908246226,33.33333333333333,46.6,35.0,51.0,51.0,6.0,25.0,6.0,108.0
1.0,2.0,1.0,85.14285714285714,0.0,46.5,42.66666666666666,39.0,39.0,9.0,50.0,5.0,109.0
1.0,1.0,4.0,26.703645007923928,28.57142857142857,66.875,75.66666666666667,40.875,40.875,92.0,50.0,6.0,110.0
15.0,4.0,4.0,44.94875549048316,0.0,41.75,63.714285714285715,32.0,32.0,74.0,38.46153846153847,6.0,111.0
10.0,0.0,1.0,71.60077145612344,22.222222222222207,45.625,54.4,58.875,58.875,47.0,12.5,6.0,112.0
16.0,2.0,1.0,7.247627264883517,100.0,70.83333333333333,61.16666666666666,79.33333333333333,79.33333333333333,44.0,35.714285714285715,4.0,113.0
12.0,2.0,3.0,62.32209737827715,0.0,45.2,36.77777777777778,71.4,71.4,10.0,0.0,-4.0,114.0
14.0,4.0,2.0,87.54430379746836,0.0,38.66666666666666,75.0,31.11111111111111,31.11111111111111,36.0,42.857142857142854,4.0,115.0
8.0,0.0,3.0,52.08333333333334,85.71428571428571,57.2,46.57142857142857,37.9,37.9,59.0,53.84615384615386,20.0,116.0
0.0,2.0,1.0,92.68030139935415,0.0,52.6,0.0,43.6,43.6,15.0,50.0,14.0,117.0
5.0,4.0,1.0,79.63752665245201,100.0,38.25,45.75,31.5,31.5,84.0,66.66666666666666,37.0,118.0
14.0,2.0,3.0,4.855923159018143,80.0,29.0,62.0,67.5,67.5,40.0,63.63636363636363,12.0,119.0
14.0,3.0,2.0,41.88829787234041,22.222222222222207,40.66666666666666,0.0,67.44444444444444,67.44444444444444,10.0,72.72727272727273,15.0,120.0
4.0,0.0,2.0,64.02535657686212,100.0,71.875,50.14285714285714,45.125,45.125,50.0,42.857142857142854,17.0,121.0
2.0,2.0,2.0,35.74744661095636,20.0,0.0,56.5,0.0,0.0,84.0,33.33333333333333,19.0,122.0
13.0,0.0,2.0,87.10635769459299,100.0,46.8,61.33333333333334,43.5,43.5,63.0,35.714285714285715,24.0,123.0
13.0,2.0,4.0,1.702127659574468,28.57142857142857,63.0,32.333333333333336,60.5,60.5,93.0,57.14285714285714,12.0,124.0
13.0,4.0,5.0,54.59610027855153,25.0,80.0,46.375,24.5,24.5,90.0,45.45454545454545,11.0,125.0
5.0,2.0,1.0,35.353535353535364,0.0,39.6,41.66666666666666,66.8,66.8,95.0,20.0,11.0,126.0
9.0,4.0,5.0,98.54057209573848,80.0,40.8,61.375,31.6,31.6,10.0,20.0,11.0,127.0
3.0,2.0,1.0,56.814357823892315,75.0,57.25,65.66666666666667,46.75,46.75,51.0,63.63636363636363,15.0,128.0
3.0,4.0,1.0,72.5219573400251,100.0,63.0,57.25,89.75,89.75,68.0,37.5,21.0,129.0
7.0,2.0,4.0,23.21637426900585,60.0,57.57142857142857,42.8,32.57142857142857,32.57142857142857,99.0,31.25,17.0,130.0
10.0,2.0,3.0,34.11118737131091,50.0,39.714285714285715,69.33333333333333,38.714285714285715,38.714285714285715,50.0,50.0,8.0,131.0
6.0,0.0,1.0,34.14634146341464,100.0,27.6,37.333333333333336,41.4,41.4,47.0,63.63636363636363,26.0,132.0
11.0,0.0,3.0,23.93385552654481,100.0,57.66666666666666,58.66666666666666,42.833333333333336,42.833333333333336,86.0,33.33333333333333,17.0,133.0
15.0,0.0,3.0,52.737752161383284,20.0,0.0,50.16666666666666,0.0,0.0,86.0,16.666666666666664,21.0,134.0
8.0,4.0,1.0,50.441501103752756,0.0,48.0,68.0,77.71428571428571,77.71428571428571,2.0,12.5,-12.0,135.0
5.0,2.0,6.0,80.43758043758044,44.444444444444436,0.0,66.66666666666667,0.0,0.0,17.0,0.0,8.0,136.0
8.0,4.0,1.0,94.3019943019943,0.0,52.4,31.0,57.4,57.4,46.0,70.0,18.0,137.0
8.0,2.0,3.0,5.034324942791762,100.0,38.0,75.5,43.66666666666666,43.66666666666666,91.0,71.42857142857143,22.0,138.0
1.0,4.0,1.0,91.37126865671642,100.0,0.0,54.2,0.0,0.0,30.0,60.0,33.0,139.0
1.0,1.0,6.0,65.49019607843137,50.0,50.33333333333334,41.77777777777778,65.0,65.0,22.0,58.33333333333334,12.0,140.0
0.0,0.0,5.0,4.6938775510204085,0.0,33.5,60.4,64.0,64.0,7.0,81.81818181818183,-4.0,141.0
2.0,3.0,6.0,68.83116883116884,33.33333333333333,47.0,59.66666666666666,37.6,37.6,36.0,69.23076923076923,11.0,142.0
1.0,2.0,1.0,7.2758037225042305,60.0,57.66666666666666,72.25,64.33333333333333,64.33333333333333,61.0,50.0,4.0,143.0
16.0,1.0,4.0,63.890654799745704,100.0,66.0,54.33333333333334,68.75,68.75,44.0,41.66666666666667,16.0,144.0
9.0,4.0,4.0,37.39565943238731,0.0,36.0,54.85714285714285,65.1,65.1,97.0,45.45454545454545,14.0,145.0
1.0,2.0,6.0,41.0761154855643,33.33333333333333,50.5,0.0,32.333333333333336,32.333333333333336,93.0,46.153846153846146,26.0,146.0
14.0,0.0,2.0,92.44154431756391,50.0,62.0,46.75,38.66666666666666,38.66666666666666,96.0,55.55555555555557,27.0,147.0
7.0,1.0,4.0,62.46770025839793,66.66666666666666,44.4,47.0,72.5,72.5,27.0,40.0,12.0,148.0
9.0,0.0,4.0,84.75073313782991,0.0,60.33333333333334,39.5,68.0,68.0,22.0,50.0,4.0,149.0
5.0,1.0,2.0,57.026889903602225,100.0,34.333333333333336,45.4,48.0,48.0,52.0,62.5,28.0,150.0
12.0,2.0,2.0,98.56115107913669,14.285714285714285,0.0,33.44444444444444,0.0,0.0,96.0,75.0,41.0,151.0
5.0,4.0,5.0,94.65526456440406,100.0,53.4,47.88888888888889,59.1,59.1,85.0,57.14285714285714,34.0,152.0
14.0,4.0,3.0,95.76059850374064,50.0,75.5,29.66666666666667,45.5,45.5,43.0,50.0,17.0,153.0
6.0,2.0,6.0,31.13207547169811,50.0,10.0,66.25,64.66666666666667,64.66666666666667,70.0,23.07692307692308,14.0,154.0
5.0,3.0,4.0,28.02124833997344,100.0,62.5,54.4,43.0,43.0,87.0,20.0,16.0,155.0
0.0,2.0,1.0,55.62236921226699,100.0,51.6,43.33333333333334,36.0,36.0,76.0,33.33333333333333,25.0,156.0
12.0,4.0,6.0,79.31614349775785,14.285714285714285,56.0,42.3,55.0,55.0,13.0,75.0,8.0,157.0
1.0,2.0,4.0,66.50041562759768,50.0,46.66666666666666,62.28571428571429,74.33333333333333,74.33333333333333,22.0,66.66666666666666,10.0,158.0
12.0,0.0,1.0,51.539491298527444,66.66666666666666,88.0,47.5,52.5,52.5,33.0,40.0,3.0,159.0
16.0,2.0,6.0,91.47627416520213,42.857142857142854,56.0,56.2,48.55555555555557,48.55555555555557,93.0,50.0,23.0,160.0
10.0,2.0,5.0,87.5,66.66666666666666,39.5,27.0,50.0,50.0,97.0,50.0,36.0,161.0
9.0,2.0,3.0,83.81742738589213,77.7777777777778,53.0,61.0,70.77777777777777,70.77777777777777,37.0,58.33333333333334,18.0,162.0
14.0,0.0,1.0,19.791666666666664,66.66666666666666,42.5,59.5,47.0,47.0,7.0,50.0,2.0,163.0
0.0,2.0,3.0,48.10733109726881,85.71428571428571,0.0,40.75,0.0,0.0,92.0,40.0,36.0,164.0
13.0,4.0,1.0,59.4488188976378,0.0,51.16666666666666,25.0,48.0,48.0,66.0,53.33333333333334,15.0,165.0
12.0,4.0,5.0,34.95145631067961,71.42857142857143,70.4,49.0,39.4,39.4,54.0,16.666666666666664,5.0,166.0
12.0,0.0,3.0,99.19028340080973,0.0,50.66666666666666,44.0,62.77777777777778,62.77777777777778,58.0,27.27272727272727,12.0,167.0
15.0,2.0,2.0,42.386575512740826,0.0,24.2,62.0,72.0,72.0,70.0,81.81818181818183,16.0,168.0
10.0,1.0,4.0,79.38257993384785,100.0,71.0,51.75,37.4,37.4,20.0,50.0,14.0,169.0
15.0,0.0,3.0,6.288209606986902,100.0,0.0,35.833333333333336,0.0,0.0,78.0,0.0,24.0,170.0
2.0,2.0,2.0,39.810426540284354,85.71428571428571,26.4,39.0,54.4,54.4,83.0,25.0,26.0,171.0
16.0,1.0,2.0,2.6704146170063248,85.71428571428571,51.0,62.75,24.33333333333333,24.33333333333333,92.0,60.0,18.0,172.0
10.0,0.0,1.0,2.247191011235955,100.0,58.0,41.111111111111114,15.5,15.5,50.0,33.33333333333333,11.0,173.0
10.0,2.0,3.0,64.4880174291939,50.0,0.0,0.0,0.0,0.0,68.0,33.33333333333333,36.0,174.0
11.0,4.0,5.0,25.371057513914657,20.0,38.5,52.0,46.5,46.5,48.0,50.0,6.0,175.0
11.0,1.0,6.0,58.620689655172406,0.0,32.666666666666664,30.75,41.66666666666666,41.66666666666666,65.0,50.0,16.0,176.0
2.0,3.0,6.0,78.31893165750195,60.0,46.0,53.5,35.0,35.0,69.0,40.0,20.0,177.0
5.0,4.0,1.0,36.61740558292282,100.0,41.2,0.0,53.2,53.2,22.0,55.55555555555557,25.0,178.0
2.0,2.0,1.0,39.483394833948346,12.5,33.3,46.125,48.5,48.5,4.0,40.0,0.0,179.0
4.0,0.0,5.0,21.623563218390803,42.857142857142854,0.0,51.28571428571429,0.0,0.0,94.0,0.0,18.0,180.0
11.0,2.0,2.0,24.719101123595504,70.0,31.125,0.0,62.25,62.25,88.0,56.25,34.0,181.0
4.0,0.0,4.0,13.820731096644964,85.71428571428571,35.111111111111114,43.33333333333334,58.77777777777778,58.77777777777778,86.0,50.0,24.0,182.0
1.0,0.0,4.0,1.8541409147095176,88.88888888888891,47.0,54.0,41.0,41.0,61.0,42.857142857142854,12.0,183.0
10.0,3.0,6.0,54.60852329038652,100.0,65.28571428571429,40.875,44.42857142857143,44.42857142857143,71.0,40.0,22.0,184.0
16.0,4.0,3.0,67.85714285714286,50.0,48.0,54.5,54.66666666666666,54.66666666666666,72.0,28.57142857142857,16.0,185.0
4.0,0.0,3.0,43.88888888888889,75.0,28.0,59.2,35.666666666666664,35.666666666666664,0.0,36.36363636363637,6.0,186.0
1.0,2.0,2.0,65.15527950310559,50.0,49.4,47.0,52.0,52.0,60.0,28.57142857142857,14.0,187.0
6.0,1.0,6.0,24.13793103448276,30.0,45.66666666666666,39.2,42.111111111111114,42.111111111111114,33.0,44.444444444444436,4.0,188.0
2.0,0.0,2.0,48.29424307036247,40.0,41.0,58.14285714285714,56.28571428571429,56.28571428571429,60.0,40.0,12.0,189.0
16.0,1.0,2.0,15.003304692663589,0.0,45.8,48.14285714285714,45.6,45.6,88.0,41.66666666666667,8.0,190.0
11.0,4.0,6.0,60.53584359160028,25.0,0.0,55.4,0.0,0.0,27.0,0.0,7.0,191.0
5.0,1.0,2.0,34.59016393442623,83.33333333333334,37.714285714285715,39.6,35.857142857142854,35.857142857142854,23.0,37.5,13.0,192.0
14.0,1.0,4.0,54.95495495495496,87.5,59.111111111111114,37.66666666666666,31.66666666666667,31.66666666666667,29.0,53.33333333333334,16.0,193.0
5.0,0.0,4.0,34.166666666666664,50.0,53.83333333333334,42.6,34.333333333333336,34.333333333333336,89.0,44.444444444444436,18.0,194.0
2.0,0.0,1.0,69.31106471816284,0.0,31.6,60.7,76.2,76.2,45.0,50.0,9.0,195.0
8.0,1.0,4.0,84.47559709241952,80.0,53.75,43.0,56.25,56.25,24.0,63.63636363636363,20.0,196.0
9.0,0.0,6.0,55.80808080808082,0.0,0.0,34.4,0.0,0.0,78.0,0.0,17.0,197.0
8.0,3.0,6.0,3.1026252983293565,0.0,76.5,48.714285714285715,69.33333333333333,69.33333333333333,21.0,46.66666666666666,-13.0,198.0
11.0,1.0,4.0,11.732355637030249,50.0,65.625,40.8,56.375,56.375,36.0,37.5,1.0,199.0
0.0,4.0,5.0,73.84799521244764,100.0,30.66666666666667,41.714285714285715,62.0,62.0,1.0,42.857142857142854,18.0,200.0
6.0,2.0,4.0,61.02051551814834,0.0,54.4,47.4,56.3,56.3,73.0,41.17647058823529,9.0,201.0
12.0,0.0,2.0,94.87060998151571,20.0,46.0,71.42857142857143,43.625,43.625,8.0,50.0,3.0,202.0
11.0,4.0,3.0,39.27789934354486,50.0,41.375,14.0,47.5,47.5,46.0,23.07692307692308,15.0,203.0
7.0,4.0,5.0,33.55801636976408,100.0,0.0,33.666666666666664,0.0,0.0,45.0,33.33333333333333,27.0,204.0
14.0,0.0,3.0,92.28468899521532,0.0,42.125,67.4,43.5,43.5,21.0,75.0,7.0,205.0
14.0,1.0,4.0,34.09090909090909,0.0,41.0,38.75,36.0,36.0,8.0,36.36363636363637,-3.0,206.0
5.0,4.0,5.0,6.866952789699571,50.0,38.625,6.5,59.375,59.375,72.0,60.0,23.0,207.0
2.0,4.0,5.0,46.747448979591844,0.0,46.55555555555557,45.4,56.33333333333334,56.33333333333334,70.0,30.0,7.0,208.0
4.0,3.0,4.0,53.56037151702785,0.0,27.33333333333333,44.2,37.77777777777778,37.77777777777778,67.0,44.444444444444436,14.0,209.0
0.0,0.0,2.0,51.02319236016372,25.0,49.0,18.5,54.0,54.0,55.0,28.57142857142857,13.0,210.0
1.0,4.0,6.0,34.14634146341464,0.0,48.16666666666666,55.75,55.66666666666666,55.66666666666666,61.0,31.25,1.0,211.0
13.0,0.0,1.0,10.51752921535893,85.71428571428571,34.888888888888886,0.0,45.33333333333334,45.33333333333334,73.0,76.92307692307693,34.0,212.0
5.0,2.0,3.0,50.669216061185466,100.0,47.0,29.25,70.66666666666667,70.66666666666667,43.0,38.46153846153847,22.0,213.0
