Subject,Class,Topic,Questions,category,answers
Chemistry,Form One,ELEMENTS AND COMPOUNDS,determine experimentally the percentage of oxygen in air.,Essay,
Chemistry,Form One,ELEMENTS AND COMPOUNDS,explain the concept of combustion.,Short Note,
Chemistry,Form One,ELEMENTS AND COMPOUNDS,demonstrate the combustion of different.,Essay,
Chemistry,Form One,ELEMENTS AND COMPOUNDS,substances in air and analyse the products.,Essay,
Chemistry,Form One,AIR COMBUSTION RUSTING AND FIRE FIGHTING,explain the significance of separating.,Essay,
Chemistry,Form One,AIR COMBUSTION RUSTING AND FIRE FIGHTING,different mixtures.,Essay,
Chemistry,Form One,AIR COMBUSTION RUSTING AND FIRE FIGHTING,separate the components of different mixtures using different methods.,Essay,
Chemistry,Form One,AIR COMBUSTION RUSTING AND FIRE FIGHTING,name the gases present in air and their proportions.,Essay,
Chemistry,Form One,AIR COMBUSTION RUSTING AND FIRE FIGHTING,demonstrate the presence of different gases in air.,Essay,
Chemistry,Form One,AIR COMBUSTION RUSTING AND FIRE FIGHTING,determine experimentally the percentage of oxygen in air.,Essay,
Chemistry,Form One,AIR COMBUSTION RUSTING AND FIRE FIGHTING,explain the concept of combustion.,Short Note,
Chemistry,Form One,AIR COMBUSTION RUSTING AND FIRE FIGHTING,demonstrate the combustion of different substances in air and analyse the products.,Essay,
Chemistry,Form One,AIR COMBUSTION RUSTING AND FIRE FIGHTING,describe the application of combustion in real life.,Essay,
Chemistry,Form One,AIR COMBUSTION RUSTING AND FIRE FIGHTING,classify the types of fire according to their causes,Essay,
Chemistry,Form One,AIR COMBUSTION RUSTING AND FIRE FIGHTING,identify different types of fire extinguishers used to extinguish different types of fire.,Essay,
Chemistry,Form One,AIR COMBUSTION RUSTING AND FIRE FIGHTING,state the components needed to start a fire.,Essay,
Chemistry,Form One,AIR COMBUSTION RUSTING AND FIRE FIGHTING,classify fire extinguishers according to the chemicals they contain.extinguish small fires using the right types of fire extinguishers.,Essay,
Chemistry,Form One,AIR COMBUSTION RUSTING AND FIRE FIGHTING,explain the concept of rusting.,Short Note,
Chemistry,Form One,AIR COMBUSTION RUSTING AND FIRE FIGHTING,demonstrate the conditions necessary for iron to rust.,Essay,
Chemistry,Form One,AIR COMBUSTION RUSTING AND FIRE FIGHTING,describe different methods of preventing iron from rusting.,Essay,
Chemistry,Form Two,OXYGEN,prepare and collect a sample of oxygen gas in the laboratory.,Essay,
Chemistry,Form Two,OXYGEN,perform simple experiments to demonstrate properties of oxygen gas.,Essay,
Chemistry,Form Two,OXYGEN,explain properties of oxygen.,Essay,
Chemistry,Form Two,OXYGEN,list uses of oxygen in daily life.,Essay,
Chemistry,Form Two,OXYGEN,relate some uses of oxygen to its properties.,Essay,
Chemistry,Form Two,HYDROGEN,explain the preparation of hydrogen gas in a laboratory.,Essay,
Chemistry,Form Two,HYDROGEN,explain properties of hydrogen.,Essay,
Chemistry,Form Two,HYDROGEN,state uses of hydrogen gas in daily life.,Essay,
Chemistry,Form Two,HYDROGEN,relate uses of hydrogen to its properties.,Essay,
Chemistry,Form Two,WATER,describe the occurrence and nature of water.,Essay,
Chemistry,Form Two,WATER,describe the water cycle.,Essay,
Chemistry,Form Two,WATER,relate water cycle to environmental conservation.,Essay,
Chemistry,Form Two,WATER,perform simple experiments on physical and chemical properties of water.,Essay,
Chemistry,Form Two,WATER,explain properties of water.,Essay,
Chemistry,Form Two,WATER,perform processes of domestic water treatment and purification.,Essay,
Chemistry,Form Two,WATER,describe the processes of urban water treatment.,Essay,
Chemistry,Form Two,WATER,explain the importance of water treatment and purification.,Essay,
Chemistry,Form Two,WATER,state uses of water.,Essay,
Chemistry,Form Two,WATER,compare the solubility of different substances in water and organic solvents.,Essay,
Chemistry,Form Two,FUELS AND ENERGY,identify different sources of fuels.,Essay,
Chemistry,Form Two,FUELS AND ENERGY,describe methods of obtaining fuels from locally available materials.,Essay,
Chemistry,Form Two,FUELS AND ENERGY,classify fuels according to their states.,Essay,
Chemistry,Form Two,FUELS AND ENERGY,classify fuels according to their efficiency.,Essay,
Chemistry,Form Two,FUELS AND ENERGY,list uses of fuels.,Essay,
Chemistry,Form Two,FUELS AND ENERGY,assess the environmental effects on using charcoal and firewood as source of fuel.,Essay,
Chemistry,Form Two,FUELS AND ENERGY,explain the law of conservation of energy.,Essay,
Chemistry,Form Two,FUELS AND ENERGY,carry out experiments on the conversion of energy from one form to another.,Essay,
Chemistry,Form Two,FUELS AND ENERGY,explain the working mechanism of a biogas plant.,Essay,
Chemistry,Form Two,FUELS AND ENERGY,construct a model of a biogas plant.,Essay,
Chemistry,Form Two,FUELS AND ENERGY,explain the use of biogas in environmental conservation.,Essay,
Chemistry,Form Two,ATOMIC STRUCTURE,explain Dalton contribution to atomic structure.,Essay,
Chemistry,Form Two,ATOMIC STRUCTURE,explain the modern concept of Dalton’s atomic structure.,Essay,
Chemistry,Form Two,ATOMIC STRUCTURE,identify sub-atomic particles in an atom.,Essay,
Chemistry,Form Two,ATOMIC STRUCTURE,explain the properties of each particle in an atom.,Essay,
Chemistry,Form Two,ATOMIC STRUCTURE,determine a maximum number of electrons in the shells.,Essay,
Chemistry,Form Two,ATOMIC STRUCTURE,draw energy shell diagrams.,Essay,
Chemistry,Form Two,ATOMIC STRUCTURE,relate atomic number with number of protons.,Essay,
Chemistry,Form Two,ATOMIC STRUCTURE,calculate mass number of an atom from number of protons and neutrons.,Essay,
Chemistry,Form Two,ATOMIC STRUCTURE,explain the concept of isotope.,Short Note,
Chemistry,Form Two,PERIODIC CLASSIFICATION,explain the concept of periodicity.,Short Note,
Chemistry,Form Two,PERIODIC CLASSIFICATION,explain the changes in properties of elements across the periods.,Essay,
Chemistry,Form Two,PERIODIC CLASSIFICATION,explain the change in properties of elements down the groups.,Essay,
Chemistry,Form Two,PERIODIC CLASSIFICATION,use electronic configurations to locate the positions of elements in the Periodic Table.,Essay,
Chemistry,Form Two,FORMULA BONDING AND NOMENCLATURE,explain the concept of valence.,Short Note,
Chemistry,Form Two,FORMULA BONDING AND NOMENCLATURE,write simple formulae of binary compounds.,Essay,
Chemistry,Form Two,FORMULA BONDING AND NOMENCLATURE,explain the concept of empirical and molecular formulae.,Short Note,
Chemistry,Form Two,FORMULA BONDING AND NOMENCLATURE,calculate the empirical and molecular formulae.,Essay,
Chemistry,Form Two,FORMULA BONDING AND NOMENCLATURE,explain the concept of oxidation state.,Short Note,
Chemistry,Form Two,FORMULA BONDING AND NOMENCLATURE,differentiate oxidation state and valence.,Essay,
Chemistry,Form Two,FORMULA BONDING AND NOMENCLATURE,explain the concept of radicals.,Short Note,
Chemistry,Form Two,FORMULA BONDING AND NOMENCLATURE,write chemical formulae of common compounds.,Essay,
Chemistry,Form Two,FORMULA BONDING AND NOMENCLATURE,explain the concept of covalent bonding.,Short Note,
Chemistry,Form Two,FORMULA BONDING AND NOMENCLATURE,state the properties of covalent compounds.,Essay,
Chemistry,Form Two,FORMULA BONDING AND NOMENCLATURE,explain the concept of electrovalent bonding.,Short Note,
Chemistry,Form Two,FORMULA BONDING AND NOMENCLATURE,state properties of electrovalent compounds.,Essay,
Chemistry,Form Three,CHEMICAL EQUATIONS,write word equations for given chemical reactions.,Essay,
Chemistry,Form Three,CHEMICAL EQUATIONS,write formula equations using chemical symbols.,Essay,
Chemistry,Form Three,CHEMICAL EQUATIONS,balance chemical equations.,Essay,
Chemistry,Form Three,CHEMICAL EQUATIONS,differentiate between molecular equations and ionic equations.,Essay,
Chemistry,Form Three,CHEMICAL EQUATIONS,write balanced ionic equations.,Essay,
Chemistry,Form Three,HARDNESS OF WATER,explain the concept of hardness of water.,Short Note,
Chemistry,Form Three,HARDNESS OF WATER,differentiate soft from hard water.,Essay,
Chemistry,Form Three,HARDNESS OF WATER,identify types of hardness of water.,Essay,
Chemistry,Form Three,HARDNESS OF WATER,state causes of permanent and temporary hardness of water.,Essay,
Chemistry,Form Three,HARDNESS OF WATER,examine the process of hard water treatment and purification.,Essay,
Chemistry,Form Three,HARDNESS OF WATER,describe the importance of hard water treatment and purification.,Essay,
Chemistry,Form Three,HARDNESS OF WATER,state the importance of hard water in daily life.,Essay,
Chemistry,Form Three,ACIDS BASES AND SALTS,investigate the natural sources of acids and bases.,Essay,
Chemistry,Form Three,ACIDS BASES AND SALTS,determine the reactions of acids with various materials.,Essay,
Chemistry,Form Three,ACIDS BASES AND SALTS,determine the reactions of alkalis with various materials.,Essay,
Chemistry,Form Three,ACIDS BASES AND SALTS,determine the reaction of bases with various substances.,Essay,
Chemistry,Form Three,ACIDS BASES AND SALTS,apply the concept of neutralization of acid-base in daily life.,Essay,
Chemistry,Form Three,ACIDS BASES AND SALTS,describe the concept of an indicator.,Essay,
Chemistry,Form Three,ACIDS BASES AND SALTS,extract an indicator from locally available materials.,Essay,
Chemistry,Form Three,ACIDS BASES AND SALTS,test the acidity and alkalinity of substances using indicators.,Essay,
Chemistry,Form Three,ACIDS BASES AND SALTS,investigate the natural source of salts.,Essay,
Chemistry,Form Three,ACIDS BASES AND SALTS,analyse the solubility of different salts in water.,Essay,
Chemistry,Form Three,ACIDS BASES AND SALTS,prepare salts in the laboratory.,Essay,
Chemistry,Form Three,ACIDS BASES AND SALTS,examine the effects of heat on salts.,Essay,
Chemistry,Form Three,ACIDS BASES AND SALTS,explain the uses of different types of salts in everyday life.,Essay,
Chemistry,Form Three,THE MOLE CONCEPT AND RELATED CALCULATIONS,compare the mole with other units of measurements.,Essay,
Chemistry,Form Three,THE MOLE CONCEPT AND RELATED CALCULATIONS,measure molar quantities of different substances.,Essay,
Chemistry,Form Three,THE MOLE CONCEPT AND RELATED CALCULATIONS,convert known masses of elements molecules or ions to moles.,Essay,
Chemistry,Form Three,THE MOLE CONCEPT AND RELATED CALCULATIONS,convert known volumes of gases at,Essay,
Chemistry,Form Three,THE MOLE CONCEPT AND RELATED CALCULATIONS,S.T.P. to moles.,Essay,
Chemistry,Form Three,THE MOLE CONCEPT AND RELATED CALCULATIONS,change masses of solids or volumes of known gases to actual number of particles.,Essay,
Chemistry,Form Three,THE MOLE CONCEPT AND RELATED CALCULATIONS,prepare molar solutions of various soluble substances.,Essay,
Chemistry,Form Three,THE MOLE CONCEPT AND RELATED CALCULATIONS,perform calculations based on the mole concept.,Essay,
Chemistry,Form Three,VOLUMETRIC ANALYSIS,explain the concept of volumetric analysis.,Short Note,
Chemistry,Form Three,VOLUMETRIC ANALYSIS,use volumetric apparatus.,Essay,
Chemistry,Form Three,VOLUMETRIC ANALYSIS,explain the steps for preparation of standard solutions of common acids.,Essay,
Chemistry,Form Three,VOLUMETRIC ANALYSIS,prepare standard solutions of bases.,Essay,
Chemistry,Form Three,VOLUMETRIC ANALYSIS,carry out acid- base titration experiments.,Essay,
Chemistry,Form Three,VOLUMETRIC ANALYSIS,standardize common mineral acids.,Essay,
Chemistry,Form Three,VOLUMETRIC ANALYSIS,find the relative atomic mass of unknown element in an acid or alkali.,Essay,
Chemistry,Form Three,VOLUMETRIC ANALYSIS,calculate the percentage purity of an acid or an alkali.,Essay,
Chemistry,Form Three,VOLUMETRIC ANALYSIS,find the number of molecules of water of crystallization of a substance.,Essay,
Chemistry,Form Three,VOLUMETRIC ANALYSIS,explain the application of volumetric,Essay,
Chemistry,Form Three,VOLUMETRIC ANALYSIS,analysis in real life situations.,Essay,
Chemistry,Form Three,VOLUMETRIC ANALYSIS,compare industrial and laboratory skills of volumetric analysis.,Essay,
Chemistry,Form Three,IONIC THEORY AND ELECTROLYSIS,distinguish electrolytes from non-electrolytes.,Essay,
Chemistry,Form Three,IONIC THEORY AND ELECTROLYSIS,categorize weak and strong electrolyte.,Essay,
Chemistry,Form Three,IONIC THEORY AND ELECTROLYSIS,set up electrolytic cells of different electrolytes in the molten and aqueous states.,Essay,
Chemistry,Form Three,IONIC THEORY AND ELECTROLYSIS,explain ionic migrations during electrolysis and the preferential,Essay,
Chemistry,Form Three,IONIC THEORY AND ELECTROLYSIS,discharge of ions at the electrodes.,Essay,
Chemistry,Form Three,IONIC THEORY AND ELECTROLYSIS,perform experiments to identify the products of electrolysis when different electrolytes are used.,Essay,
Chemistry,Form Three,IONIC THEORY AND ELECTROLYSIS,perform an experiment to identify the products of electrolysis when different electrodes are used.,Essay,
Chemistry,Form Three,IONIC THEORY AND ELECTROLYSIS,carry out experiments to relate masses liberated and quantity of electricity passed.,Essay,
Chemistry,Form Three,IONIC THEORY AND ELECTROLYSIS,carry out an experiment to verify Faraday’s First Law of electrolysis.,Essay,
Chemistry,Form Three,IONIC THEORY AND ELECTROLYSIS,carry out experiments to verify Faraday’s Second Law of electrolysis.,Essay,
Chemistry,Form Three,IONIC THEORY AND ELECTROLYSIS,relate the chemical equivalents of elements to,Essay,
Chemistry,Form Three,IONIC THEORY AND ELECTROLYSIS,the quantity of electricity passed.,Essay,
Chemistry,Form Three,IONIC THEORY AND ELECTROLYSIS,outline the industrial purification,Essay,
Chemistry,Form Three,IONIC THEORY AND ELECTROLYSIS,of copper by electrolysis.,Essay,
Chemistry,Form Three,IONIC THEORY AND ELECTROLYSIS,carry out an experiment on electroplating of metallic materials.,Essay,
Chemistry,Form Three,CHEMICAL KINETICS EQUILIBRIUM AND ENERGETICS,compare the rates of chemical reactions.,Essay,
Chemistry,Form Three,CHEMICAL KINETICS EQUILIBRIUM AND ENERGETICS,perform experiments to measure the rates of chemical reactions.,Essay,
Chemistry,Form Three,CHEMICAL KINETICS EQUILIBRIUM AND ENERGETICS,describe the effect of concentration on the rate of a reaction.,Essay,
Chemistry,Form Three,CHEMICAL KINETICS EQUILIBRIUM AND ENERGETICS,demonstrate the effect of,Essay,
Chemistry,Form Three,CHEMICAL KINETICS EQUILIBRIUM AND ENERGETICS,temperature on the rate of a reaction.,Essay,
Chemistry,Form Three,CHEMICAL KINETICS EQUILIBRIUM AND ENERGETICS,show the effect of surface area of a solid on the rate of a reaction.,Essay,
Chemistry,Form Three,CHEMICAL KINETICS EQUILIBRIUM AND ENERGETICS,demonstrate the effect of catalyst on the rate of a reaction.,Essay,
Chemistry,Form Three,CHEMICAL KINETICS EQUILIBRIUM AND ENERGETICS,compare reversible and irreversible reactions.,Essay,
Chemistry,Form Three,CHEMICAL KINETICS EQUILIBRIUM AND ENERGETICS,describe the concept of reversible,Essay,
Chemistry,Form Three,CHEMICAL KINETICS EQUILIBRIUM AND ENERGETICS,and irreversible reactions.,Essay,
Chemistry,Form Three,CHEMICAL KINETICS EQUILIBRIUM AND ENERGETICS,differentiate equilibrium reactions from simple reversible reactions.,Essay,
Chemistry,Form Three,CHEMICAL KINETICS EQUILIBRIUM AND ENERGETICS,describe two equilibrium reactions of industrial importance.,Essay,
Chemistry,Form Three,CHEMICAL KINETICS EQUILIBRIUM AND ENERGETICS,explain the concept of endothermic,Short Note,
Chemistry,Form Three,CHEMICAL KINETICS EQUILIBRIUM AND ENERGETICS,and exothermic reactions.,Essay,
Chemistry,Form Three,COMPOUNDS OF METALS,explain the extraction of sodium from its ore.,Essay,
Chemistry,Form Three,COMPOUNDS OF METALS,A student should be able to describe the extraction of iron from its ore.,Essay,
Chemistry,Form Three,COMPOUNDS OF METALS,identify the environmental destruction caused by extraction of metals.,Essay,
Chemistry,Form Three,COMPOUNDS OF METALS,suggest intervention measures to rectify the environmental destruction.,Essay,
Chemistry,Form Three,COMPOUNDS OF METALS,prepare oxides of some metals by direct and indirect methods.,Essay,
Chemistry,Form Three,COMPOUNDS OF METALS,classify metal oxides.,Essay,
Chemistry,Form Three,COMPOUNDS OF METALS,demonstrate the reactions of metal oxides with water and dilute acids.,Essay,
Chemistry,Form Three,COMPOUNDS OF METALS,explain the uses of metal oxides.,Essay,
Chemistry,Form Three,COMPOUNDS OF METALS,prepare hydroxides of some metals by direct and indirect methods.,Essay,
Chemistry,Form Three,COMPOUNDS OF METALS,classify metal hydroxides.,Essay,
Chemistry,Form Three,COMPOUNDS OF METALS,explain the chemical properties of metal hydroxides.,Essay,
Chemistry,Form Three,COMPOUNDS OF METALS,describe the uses of metal hydroxides,Essay,
Chemistry,Form Three,COMPOUNDS OF METALS,prepare metal carbonates and hydrogen carbonates by different methods.,Essay,
Chemistry,Form Three,COMPOUNDS OF METALS,classify metal carbonates.,Essay,
Chemistry,Form Three,COMPOUNDS OF METALS,analyse the chemical properties of metal carbonates.,Essay,
Chemistry,Form Three,COMPOUNDS OF METALS,describe the uses of carbonates and hydrogen carbonates,Essay,
Chemistry,Form Three,COMPOUNDS OF METALS,prepare metal nitrates.,Essay,
Chemistry,Form Three,COMPOUNDS OF METALS,explain the chemical properties of metal nitrates.,Essay,
Chemistry,Form Three,COMPOUNDS OF METALS,explain the uses of metal nitrates.,Essay,
Chemistry,Form Three,COMPOUNDS OF METALS,prepare metal chlorides by direct and indirect methods.,Essay,
Chemistry,Form Three,COMPOUNDS OF METALS,explain the chemical properties of metal chlorides.,Essay,
Chemistry,Form Three,COMPOUNDS OF METALS,explain  the uses of metal chlorides.,Essay,
Chemistry,Form Three,COMPOUNDS OF METALS,prepare soluble and insoluble sulphates.,Essay,
Chemistry,Form Three,COMPOUNDS OF METALS,explain chemical properties of sulphates.,Essay,
Chemistry,Form Three,COMPOUNDS OF METALS,describe uses of sulphates.,Essay,
